0.124119,-0.298003,0.23023,-2.052,0.877,-2.434
0.165838,-0.248,0.130241,-1.905,0.481,-2.182
0.172294,-0.203956,0.064327,-1.734,0.496,-2.197
0.185675,-0.22938,-0.051964,-1.482,0.337,-2.086
0.202064,-0.220459,0.04794,-1.733,0.483,-2.285
0.126888,-0.234437,0.379314,-3.073,0.921,2.352
0.074238,-0.390697,0.373095,2.992,0.863,2.524
0.080656,-0.471612,0.253848,2.249,0.994,1.954
0.213968,-0.380463,0.373317,-3.043,0.805,3.126
0.23714,-0.222679,0.31557,-2.841,0.864,2.963
0.015337,-0.276927,0.396397,-3.039,0.887,2.877
0.177276,-0.349645,0.306494,2.618,0.713,1.695
0.111756,-0.350121,0.301203,-3.123,0.931,2.71
0.295294,-0.346062,0.252777,-3.123,0.916,2.646
0.224002,-0.279522,0.281768,-2.301,0.415,-2.289
0.190706,-0.439869,0.312036,3.039,0.858,2.865
0.028484,-0.212816,0.250941,-2.509,0.815,-2.912
