0.195283,-0.388123,0.340504,-3.053,1.067,2.982
0.155082,-0.308276,0.435991,3.067,0.931,2.749
0.164255,-0.277796,0.442358,-2.579,0.563,-2.652
0.227571,-0.262355,0.394317,-3.024,0.55,2.914
0.232612,-0.228285,0.267431,-2.65,0.89,2.929
0.263561,-0.217783,0.177358,-2.092,0.838,-2.814
0.250984,-0.191927,0.105422,-1.79,0.741,-2.509
0.262153,-0.201237,-0.007205,-1.67,0.572,-2.373
0.275383,-0.214642,-0.0444,-1.452,0.604,-2.258
0.266208,-0.141861,0.044648,-1.742,0.645,-2.456
0.291251,-0.148149,0.215331,-1.972,0.848,-2.734
0.233097,-0.20799,0.349461,-2.706,0.947,3.084
0.08161,-0.141558,0.463516,-2.602,0.731,2.975
