0.17277,-0.247522,0.134286,-1.935,0.361,-2.155
0.250088,-0.226927,0.141266,-1.891,0.287,-2.491
0.251936,-0.222318,-0.028087,-1.587,0.049,-2.346
0.196316,-0.249022,-0.058951,-1.506,0.03,-2.306
0.233862,-0.245084,0.350202,-2.414,0.55,-2.737
0.117472,-0.182177,0.370453,-2.346,0.47,-2.749
0.101099,-0.308436,0.402517,-2.742,0.693,-2.846
0.096919,-0.384305,0.373299,-2.742,0.826,-2.846
0.081777,-0.438228,0.319814,-2.767,0.913,-2.88
0.228432,-0.418761,0.314749,-2.742,0.577,-2.834
0.229612,-0.363399,0.398877,-2.664,0.706,-2.711
0.292934,-0.362026,0.365967,-2.537,0.595,-2.633
